"ENROLLMENT ID - BUYER","ENROLLMENT STATE - BUYER","PROVIDER TYPE CODE - BUYER","PROVIDER TYPE TEXT - BUYER","NPI - BUYER","MULTIPLE NPI FLAG - BUYER","CCN - BUYER","ASSOCIATE ID - BUYER","ORGANIZATION NAME - BUYER","DOING BUSINESS AS NAME - BUYER","CHOW TYPE CODE","CHOW TYPE TEXT","EFFECTIVE DATE","ENROLLMENT ID - SELLER","ENROLLMENT STATE - SELLER","PROVIDER TYPE CODE - SELLER","PROVIDER TYPE TEXT - SELLER","NPI - SELLER","MULTIPLE NPI FLAG - SELLER","CCN - SELLER","ASSOCIATE ID - SELLER","ORGANIZATION NAME - SELLER","DOING BUSINESS AS NAME - SELLER"
O20160830003022,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1699084525,N,058620,1456646629,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI,ADVENTIST HEALTH COMMUNITY CARE - CALIFORNIA CITY,CH,CHANGE OF OWNERSHIP,11/01/2016,O20050531001074,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1699084525,Y,058620,5092777904,TEHACHAPI VALLEY HEALTHCARE DISTRICT,TEHACHAPI FAMILY HEALTH CENTER-CALIFORNIA CITY
O20160831002422,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1508175431,N,553979,1456646629,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI,ADVENTIST HEALTH COMMUNITY CARE - MOJAVE,CH,CHANGE OF OWNERSHIP,11/01/2016,O20041102001292,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1508175431,N,553979,5092777904,TEHACHAPI VALLEY HEALTHCARE DISTRICT,TEHACHAPI FAMILY HEALTH CENTER
O20160930000494,GA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1811020407,N,118542,1254628092,EFFINGHAM HOSPITAL INC,EFFINGHAM FAMILY MEDICINE AT GOSHEN,CH,CHANGE OF OWNERSHIP,11/01/2016,O20111220000691,GA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1811962756,Y,118542,5395631915,EFFINGHAM HEALTH SYSTEM,EFFINGHAM FAMILY MEDICINE AT GOSHEN
O20161003002570,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1790723468,N,453870,1355254210,HEALTHTEXAS PROVIDER NETWORK,PCA GREENVILLE,CH,CHANGE OF OWNERSHIP,06/01/2016,O20090310000189,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1790723468,N,453870,3971568023,PCA PRIMARY CARE ASSOCIATES PA,PCA-GREENVILLE
O20161027002086,TN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1679929285,N,448900,2567740475,PEDIATRIC ASSOCIATES OF WEST TENNESSEE PLLC,,CH,CHANGE OF OWNERSHIP,09/01/2016,O20100816000994,TN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1023024874,N,448900,8729112545,"PEDIATRIC ASSOCIATES, P.C.",
O20161109002016,IN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1770936965,N,153857,0446558357,LA PORTE CLINIC COMPANY LLC,KNOX FAMILY MEDICAL CENTER,CH,CHANGE OF OWNERSHIP,03/01/2016,O20041014000254,IN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1760593776,N,153857,0345147963,INDIANA UNIVERSITY HEALTH LA PORTE PHYSICIANS INC,KNOX FAMILY MEDICAL CENTER
O20161118001532,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1619423704,N,423455,5698063162,PRISMA HEALTH-UPSTATE,PH PEDIATRICS-CLEMSON,CH,CHANGE OF OWNERSHIP,10/01/2016,O20150807014295,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1043602428,N,423890,8123938131,GREENVILLE HEALTH SYSTEM,GHS CLEMSON-SENECA PEDIATRICS-CLEMSON
O20161118001638,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1942755848,N,423452,5698063162,PRISMA HEALTH-UPSTATE,PRISMA HEALTH LAURENS FAMILY MED-MAIN,CH,CHANGE OF OWNERSHIP,10/01/2016,O20150812006805,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1710379193,N,423452,8123938131,GREENVILLE HEALTH SYSTEM,
O20161118001713,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1700239787,N,423454,5698063162,PRISMA HEALTH-UPSTATE,PRISMA HEALTH LAURENS FAMILY MED-GRAY CT,CH,CHANGE OF OWNERSHIP,10/01/2016,O20150812007417,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1427440809,N,423454,8123938131,GREENVILLE HEALTH SYSTEM,
O20161118001744,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1437605524,N,423456,5698063162,PRISMA HEALTH-UPSTATE,PH PEDIATRICS-SENECA,CH,CHANGE OF OWNERSHIP,10/01/2016,O20150807015568,SC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1497147870,N,423886,8123938131,GREENVILLE HEALTH SYSTEM,GHS CLEMSON-SENECA PEDIATRICS-SENECA
O20161201001886,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1578012084,N,148568,8022908185,WABASH GENERAL HOSPITAL DISTRICT,WABASH GENERAL HOSPITAL PRIMARY CARE,CH,CHANGE OF OWNERSHIP,08/09/2016,O20060110000789,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1932224508,N,148994,3779506308,NARENDRA H ANADKAT M D P C,"WABASH PRIMARY CARE ASSOCIATES, PC"
O20170208002332,NC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1609319490,N,343447,8921380759,LIFEBRITE HOSPITAL GROUP OF STOKES LLC,LIFEBRITE FAMILY MEDICAL OF DANBURY,CH,CHANGE OF OWNERSHIP,01/30/2017,O20120830000162,NC,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1912294687,N,343447,9234301680,"PIONEER HEALTH SERVICES OF STOKES COUNTY, INC.",PIONEER FAMILY MEDICAL OF DANBURY
O20170209001805,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1487017471,N,553998,3375531635,SUTTER VALLEY HOSPITALS,MEMORIAL HOSPITAL LOS BANOS RURAL HEALTH CLINIC,CH,CHANGE OF OWNERSHIP,05/01/2017,O20090619000172,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1528202090,N,553998,8628019650,SUTTER CENTRAL VALLEY HOSPITALS,MEMORIAL HOSPITAL LOS BANOS RURAL HEALTH CLINIC
O20170223001026,IN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1013087048,N,153869,8426943614,UNION HOSPITAL INC,BRAZIL FAMILY MEDICINE,CH,CHANGE OF OWNERSHIP,09/30/2016,O20061222000108,IN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1013087048,N,153869,9335135995,"PROVIDENCE MEDICAL GROUP, LLC",BRAZIL FAMILY MEDICINE
O20170224001635,TN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1215399654,N,443965,6002727187,UHS VENTURES INC,,CH,CHANGE OF OWNERSHIP,10/01/2016,O20071010000047,TN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1508965682,N,443965,8022099894,HEARTLAND MEDICAL P.C.,
O20170407001517,MI,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1144722604,N,233900,4981501939,MYMICHIGAN MEDICAL GROUP,MIDMICHIGAN PHYSICIANS GROUP FAMILY MEDICINE,CH,CHANGE OF OWNERSHIP,08/01/2016,O20101217000394,MI,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1811992704,N,233900,6507826799,ALPENA MEDICAL ARTS PC,
O20170502000233,NH,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1326587635,N,303816,1153318068,SPEARE MEMORIAL HOSPITAL,PLYMOUTH PEDIATRIC AND ADOLESCENT MEDICINE,CH,CHANGE OF OWNERSHIP,04/09/2017,O20040416001355,NH,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1548210198,N,303816,4183537509,DARTMOUTH-HITCHCOCK CLINIC,DARTMOUTH HITCHCOCK CLINIC - PLYMOUTH
O20170508001736,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1629517313,N,148576,0143115949,HAMMOND HENRY DIST HOSPITAL,,CH,CHANGE OF OWNERSHIP,05/01/2017,O20130726000378,IL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1164764635,N,148964,7315182565,"REGIONAL HEALTH PARTNERS, LLC",
O20170509002555,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1538606280,N,058918,7012294630,VALLEY HEALTHCARE CENTERS,LINDSAY FAMILY AND PEDIATRICS CLINIC,CH,CHANGE OF OWNERSHIP,04/01/2017,O20051128000450,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1326167115,N,058918,8820034580,"SEQUOIA FAMILY MEDICAL CENTER, INC.",LINDSAY FAMILY & PEDIATRIC CLINIC
O20170509002630,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1790221703,N,553820,7012294630,VALLEY HEALTHCARE CENTERS,SEQUOIA FAMILY MEDICAL CENTER,CH,CHANGE OF OWNERSHIP,04/01/2017,O20101217000200,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1528016987,N,553820,8820034580,"SEQUOIA FAMILY MEDICAL CENTER, INC.",
O20170608000211,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1417489956,N,673454,4587842315,JACK COUNTY HOSPITAL DISTRICT,FCH RURAL HEALTH CLINIC BOWIE,CH,CHANGE OF OWNERSHIP,05/01/2017,O20170804002038,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1093774317,N,453929,6507835626,"UNITED CLINICS OF NORTH TEXAS, PLLC",
O20170621002711,GA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1750686382,N,118540,1254628092,EFFINGHAM HOSPITAL INC,EFFINGHAM FAMILY MEDICINE AT TWENTY ONE,CH,CHANGE OF OWNERSHIP,11/01/2016,O20111220000585,GA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1811962756,Y,118540,5395631915,EFFINGHAM HEALTH SYSTEM,EFFINGHAM FAMILY MEDICINE AT TWENTY ONE
O20170708000096,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1588610067,N,673835,1254600125,JJP FAMILY PRACTICE LLC,,CH,CHANGE OF OWNERSHIP,06/26/2017,O20100322000702,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1588610067,N,673835,4385684893,BEEVILLE FAMILY PRACTICE LLP,
O20170722000035,LA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1699834473,N,193890,4789720004,MINDEN PHYSICIAN PRACTICES LLC,MINDEN PRIMARY CARE,CH,CHANGE OF OWNERSHIP,07/07/2017,O20071207000499,LA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1699834473,N,193890,2567417850,"FAMILY MEDICINE ASSOCIATES OF MINDEN, LLC",FAMILY MEDICINE ASSOCIATES OF MINDEN
O20170803001254,FL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1740644202,N,103455,2668363771,"NORTHWEST FLORIDA HEALTHCARE, INC.",CHIPLEY MEDICAL GROUP,CH,CHANGE OF OWNERSHIP,03/14/2016,O20091106000229,TN,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1245389303,N,108943,9436062296,HOUSTON COUNTY HEALTHCARE AUTHORITY,CHIPLEY MEDICAL GROUP
O20170815000437,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1215458211,N,433890,5991616427,MONUMENT HEALTH NETWORK INC,MONUMENT HEALTH HOT SPRINGS CLINIC,CH,CHANGE OF OWNERSHIP,06/30/2017,O20070601000499,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1649390816,N,433890,2769588755,BLACK HILLS FAMILY HEALTH CLINIC PC,BLACK HILLS FAMILY HEALTH CLINIC PC
O20171009000277,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1245757319,N,258537,0244505840,BOA VIDA HOSPITAL OF ABERDEEN MS LLC,MRH MEDICAL GROUP JURNEY,CH,CHANGE OF OWNERSHIP,10/01/2017,O20061222000134,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1790864577,N,258537,6305827478,"PIONEER HEALTH SERVICES OF MONROE COUNTY, INC",NINA JURNEY FAMILY MEDICAL PRACTICE
O20171009001041,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1891212957,N,258975,0244505840,BOA VIDA HOSPITAL OF ABERDEEN MS LLC,MONROE REGIONAL HOSPITAL,CH,CHANGE OF OWNERSHIP,10/01/2017,O20040707001498,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1083658595,N,258975,6305827478,"PIONEER HEALTH SERVICES OF MONROE COUNTY, INC",CHESTNUT MEDICAL CLINIC
O20171010000575,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1245757301,N,258515,0244505840,BOA VIDA HOSPITAL OF ABERDEEN MS LLC,MRH MEDICAL GROUP,CH,CHANGE OF OWNERSHIP,10/01/2017,O20040901001502,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1386689438,N,258515,6305827478,"PIONEER HEALTH SERVICES OF MONROE COUNTY, INC",PIONEER FAMILY MEDICAL
O20171011000397,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1235656406,N,258521,0244505840,BOA VIDA HOSPITAL OF ABERDEEN MS LLC,MRH MEDICAL GROUP HAMILTON,CH,CHANGE OF OWNERSHIP,10/01/2017,O20050110001092,MS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1326083619,N,258521,6305827478,"PIONEER HEALTH SERVICES OF MONROE COUNTY, INC",PIONEER FAMILY MEDICAL OF HAMILTON
O20171013000961,GA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1033428214,N,118513,5496944712,SCREVEN COUNTY HOSPITAL LLC,OPTIM PRIMARY CARE - MILLEN,CH,CHANGE OF OWNERSHIP,06/16/2017,O20110121000179,GA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1033428214,N,118513,0143419820,JENKINS COUNTY HOSPITAL LLC,OPTIM PRIMARY CARE-MILLEN
O20171128001747,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1336143007,N,458557,9931465283,WINKLER COUNTY HOSPITAL DISTRICT,WINKLER COUNTY RURAL HEALTH CLINIC,CH,CHANGE OF OWNERSHIP,10/01/2017,O20040513000288,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1336143007,N,458557,4981698255,COUNTY OF WINKLER,WINKLER COUNTY RURAL HEALTH CLINIC
O20171208001817,LA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1366946030,N,193881,1254633308,CHILDREN'S INTERNATIONAL LLC,CHILDREN'S INTERNATIONAL MEDICAL GROUP,CH,CHANGE OF OWNERSHIP,10/01/2017,O20070215000335,LA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1992888036,N,193881,4688676927,CHILDREN FIRST KIDMED,CHILDREN FIRST KID MED
O20180208001301,WY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1245747872,N,533996,9234020439,HOT SPRINGS COUNTY HOSPITAL DISTRICT,HOT SPRINGS HEALTH THERMOPOLIS,CH,CHANGE OF OWNERSHIP,12/07/2017,O20040617000063,WY,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1316914922,N,533811,4587647599,"RED ROCK FAMILY PRACTICE, INC",
O20180321002530,WA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1376028373,N,508577,3577462365,GRAYS HARBOR COMMUNITY HOSPITAL,THE HOQUIAM CLINIC,CH,CHANGE OF OWNERSHIP,04/16/2018,O20140627001161,WA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1134597693,Y,503921,7416011184,"GHCH PHYSICIAN SERVICES, LLC",
O20180322000911,WA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1821573965,N,508576,3577462365,GRAYS HARBOR COMMUNITY HOSPITAL,GHCH ABERDEEN EAST CLINIC,CH,CHANGE OF OWNERSHIP,04/16/2018,O20140627000908,WA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1518337104,Y,503919,7416011184,"GHCH PHYSICIAN SERVICES, LLC",
O20180322002714,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1194189654,N,058698,8921374562,ST JOSEPH HEALTH NORTHERN CALIFORNIA LLC,PROVIDENCE FAMILY PRACTICE,CH,CHANGE OF OWNERSHIP,04/01/2018,O20170224000304,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1194189654,N,058698,1557315249,REDWOOD MEMORIAL HOSPITAL,ST. JOSEPH HEALTH RURAL HEALTH CLINIC
O20180405002125,AL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1487167375,N,013456,9335407659,THE HEALTH CARE AUTHORITY OF THE CITY OF EUFAULA,FAMILY CARE CLINIC,CH,CHANGE OF OWNERSHIP,12/01/2017,O20140602001311,AL,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1104248319,N,013456,8527060243,SOUTHEAST ALABAMA REGIONAL HEALTHCARE AUTHORITY,FAMILY CARE CLINIC
O20180424002477,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1407355860,N,673408,0648532077,"CARTHAGE HOSPITAL, LLC",UT HEALTH EAST TEXAS CARTHAGE PHYSICIAN CLINIC,CH,CHANGE OF OWNERSHIP,03/01/2018,O20130122000201,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1629314539,N,673408,0547165706,EAST TEXAS MEDICAL CENTER CARTHAGE,ETMC FIRST PHYSICIANS CLINIC CENTER III
O20180517002206,KS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1164928347,N,178611,2163311457,MIAMI COUNTY MEDICAL CENTER INC,OLATHE HEALTH FAMILY MEDICINE-PAOLA,CH,CHANGE OF OWNERSHIP,06/01/2018,O20090923000421,KS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1952589525,N,178994,7618881905,OLATHE HEALTH PHYSICIANS INC,OLATHE HEALTH FAMILY MEDICINE-PAOLA
O20180522002100,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1306345764,N,458852,9133484330,QUITMAN HOSPITAL LLC,UT HEALTH EAST TEXAS QUITMAN HOSPITAL,CH,CHANGE OF OWNERSHIP,03/01/2018,O20040625001094,TX,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1508871245,N,458852,5799698130,EAST TEXAS MEDICAL CENTER QUITMAN,ETMC FIRST PHYSICIANS CLINIC QUITMAN
O20180524002716,KS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1134625551,N,178615,2163311457,MIAMI COUNTY MEDICAL CENTER INC,OLATHE HEALTH FAMILY MEDICINE-OSAWATOMIE,CH,CHANGE OF OWNERSHIP,06/01/2018,O20090923000131,KS,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1174701742,N,178997,7618881905,OLATHE HEALTH PHYSICIANS INC,OLATHE HEALTH FAMILY MEDICINE-OSAWATOMIE
O20180622001476,OK,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1972005981,N,373495,2365353794,STILLWATER MEDICAL CENTER AUTHORITY,COMMUNITY MEDICAL CLINIC,CH,CHANGE OF OWNERSHIP,04/01/2018,O20170320000437,OK,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1861942948,N,373495,8022187699,PERRY MEMORIAL HOSPITAL AUTHORITY,COMMUNITY MEDICAL CLINIC
