title,field,description
Drug Products Data Dictionary,fda_therapeutic_equivalence_code,"The Therapeutic Equivalence Code (TEC) reported to CMS should correspond to the FDA Therapeutic Equivalence (TE) Code assigned to a product by the FDA. More information regarding FDA TE Codes can be found at the Orange Book at: http://www.accessdata.fda.gov/scripts/cder/ob/default.cfm or Drugs@FDA at: http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Addlsearch_drug name. It is important to note that while the FDA generally assigns a two letter TE Code value (e.g., AB) to products, in some cases the value is two letters plus a number (e.g., AB1). Since DDR restricts values reported in the TEC field to two characters, some FDA TE Codes need to be converted to a two-character format. Specifically, if the FDA assigned TE Code is AB1, AB2, etc., the corresponding TEC value should be reported in DDR as A1, A2, etc. Alpha-numeric values, 2 character field. Valid Values: A1 A6 AB BC BR A2 A7 AN BD BS A3 A8 AO BE BT A4 A9 AP BN BX A5 AA AT BP NR (Not Rated)"
Drug Products Data Dictionary,fda_product_name,The drug's name as approved by the FDA.
Drug Products Data Dictionary,clotting_factor_indicator,"In accordance with section 1927(c)(1)(B)(iii) of the Social Security Act, an indicator which identifies a Single Source or Innovator Multiple Source drug as a clotting factor for which a separate furnishing payment is made under section 1842(o)(5) of the Act. Valid values: Y = Yes N = No"
Drug Products Data Dictionary,pediatric_indicator,"In accordance with section 1927(c)(1)(B)(iii) of the Social Security Act, an indicator which identifies a Single Source or Innovator Multiple Source drug approved by the FDA exclusively for pediatric indications for patients in the FDA-defined pediatric age group (i.e., birth to 16 years). Valid values: Y = Yes N = No"
Drug Products Data Dictionary,package_size_intro_date,"The date the package size is first available on the market. If the product was purchased from another company, the Package Size Introduction Date should equal the date the package size is first available on the market under the labeler code of the company currently holding legal title to the NDC."
Drug Products Data Dictionary,purchased_product_date,"The date on which the company currently holding legal title to the NDC first markets the drug under this NDC (this date can result, for example, from the purchase of an NDC from one company by another company, the re-designation of an NDC from one of a company's labeler codes to another of that same company's labeler codes, cross-licensing arrangements, etc)."
Drug Products Data Dictionary,cod_status,A category that identifies whether or not a product meets the statutory definition of a covered outpatient drug in accordance with sections 1927(k)(2) to 1927(k)(4) of the Social Security Act. Valid Values: ' ' (Spaces) = The Labeler has not reported this field to the Medicaid Drug Rebate Program. '01' = Abbreviated New Drug Application (ANDA) '02' = Biological License Application (BLA) '03' = New Drug Application (NDA) '04' = NDA Authorized Generic '05' = DESI 5* - LTE/IRS drug for all indications '06' = DESI 6* - LTE/IRS drug withdrawn from market '07' = Prescription Pre-Natal Vitamin or Fluoride '08' = Prescription Dietary Supplement/Vitamin/Mineral (Other than Prescription Pre-Natal Vitamin or Fluoride) '09' = OTC Monograph Tentative '10' = OTC Monograph Final '11' = Unapproved Drug - Drug Shortage '12' = Unapproved Drug - Per 1927(k)(2)(A)(ii) '13' = Unapproved Drug - Per 1927(k)(2)(A)(iii) *NDCs with a COD Status of DESI 5/6 are not eligible for coverage or rebates under the Medicaid Drug Rebate Program.
Drug Products Data Dictionary,fda_application_number,"For drugs with a COD status of ANDA, BLA, NDA, or NDA Authorized Generic, this is the seven-digit application number that is assigned by the FDA for approval to market a generic drug or new drug in the United States  For drugs with a COD status of OTC Monograph Tentative or Final, this is the FDA's August 2018 Page 5 of 5 regulatory citation for the OTC  For drugs with a COD Status of OTC Monograph Final, the first four characters are a constant of PART; the last three characters are the numeric values for the appropriate regulatory citation for the product (e.g., '225')  For drugs with a COD Status of OTC Monograph Tentative, the first four characters area constant of 'PART'; the last three characters are the numeric values for the appropriate regulatory citation for the product, or 3 zeroes if a Monograph Number is not available  For drugs with a COD Status other than ANDA, BLA, NDA, NDA Authorized Generic, OTC Monograph Final, or OTC Monograph Tentative, the FDA Application No./OTC Monograph No. field will be zero-filled For drugs where a COD Status has never been reported to CMS, the FDA Application Number/OTC Monograph Number field will be padded with spaces."
Drug Products Data Dictionary,reactivation_date,The date on which a terminated product is re-introduced to the market.
Drug Products Data Dictionary,line_extension_drug_indicator,"Identifies whether or not a product is a line extension drug as defined inSection 1927(c)(2)(C) of the Social SecurityAct, including whether the drug is excluded from the statutory definition of a line extension on the basis of being an abuse-deterrent formulation (ADF). Valid Values: Y = Yes N = No (i.e., neither LE nor ADF) R = Request for ADF Exclusion E = Excluded (Due to ADF) (NOTE: This value may only be assigned by CMS)"
Monthly Enrollment Data Dictionary updated,state_abbreviation,State abbreviation.
Monthly Enrollment Data Dictionary updated,state_name,State name.
Monthly Enrollment Data Dictionary updated,reporting_period,Reporting period (month).
Monthly Enrollment Data Dictionary updated,state_expanded_medicaid,"Indicates whether state has expanded Medicaid to low-income adults as of the reporting period, based on the expansions coverage effective date (Y=expanded Medicaid, N=has not expanded Medicaid)."
Monthly Enrollment Data Dictionary updated,preliminary_updated,"Indicates whether data are from a preliminary or updated report (P=Preliminary, U=Updated)."
Monthly Enrollment Data Dictionary updated,final_report,"Indicates whether data are from a final report (Y=Final Report, N=Preliminary Report)."
Monthly Enrollment Data Dictionary updated,new_applications_submitted_to_medicaid_and_chip_agencies,The number of Medicaid and CHIP applications received by the Medicaid agency and (if applicable) the separate CHIP agency during the calendar month. Accounts transferred from the Federally-facilitated Marketplace (FFM) are excluded. This metric is calculated as the sum of Performance Indicator elements 5b and 5h.
Monthly Enrollment Data Dictionary updated,new_applications_submitted_to_medicaid_and_chip_agencies_footnotes,Footnotes for the number of Medicaid and CHIP applications received by the Medicaid agency and (if applicable) the separate CHIP agency during the calendar month. Accounts transferred from the Federally-facilitated Marketplace (FFM) are excluded.
Monthly Enrollment Data Dictionary updated,applications_for_financial_assistance_submitted_to_the_state_based_marketplace,"The total number of applications requesting financial assistance that have been received by the SBM during the calendar month, including applications received via an integrated online Marketplace/Medicaid/CHIP portal. Applications not requesting financial assistance are excluded. The metric is set equal to Performance Indicator data element 5n."
Monthly Enrollment Data Dictionary updated,applications_for_financial_assistance_submitted_to_the_state_based_marketplace_footnotes,"Footnotes for the total number of applications requesting financial assistance that have been received by the SBM during the calendar month, including applications received via an integrated online Marketplace/Medicaid/CHIP portal."
Monthly Enrollment Data Dictionary updated,total_applications_for_financial_assistance_submitted_at_state_level,"The number of Medicaid and CHIP applications received by the Medicaid agency, (if applicable) the separate CHIP agency, and a State-based Marketplace (if applicable) during the calendar month. Accounts transferred from the Federally-facilitated Marketplace (FFM) are excluded. This metric is set equal to Performance Indicator data element 5a."
Monthly Enrollment Data Dictionary updated,total_applications_for_financial_assistance_submitted_at_state_level_footnotes,"Footnotes for the number of Medicaid and CHIP applications received by the Medicaid agency, (if applicable) the separate CHIP agency, and a State-based Marketplace (if applicable) during the calendar month."
Monthly Enrollment Data Dictionary updated,individuals_determined_eligible_for_medicaid_at_application,"The total number of Medicaid eligible determinations made (processed) at application by the state agency during the calendar month. This metric is calculated as the sum of Performance Indicator elements 9d and 9h when either are greater than 0; otherwise, the metric is set equal to Performance Indicator element 9a."
Monthly Enrollment Data Dictionary updated,individuals_determined_eligible_for_medicaid_at_application_footnotes,Footnotes for the total number of Medicaid eligible determinations made (processed) at application by the state agency during the calendar month.
Monthly Enrollment Data Dictionary updated,individuals_determined_eligible_for_chip_at_application,"The total number of CHIP eligible determinations made (processed) at application by the state agency during the calendar month. This metric is set equal to Performance Indicator element 9k when element 9k is greater than 0; otherwise, the metric is set equal to Performance Indicator element 9j."
Monthly Enrollment Data Dictionary updated,individuals_determined_eligible_for_chip_at_application_footnotes,Footnotes for the total number of CHIP eligible determinations made (processed) at application by the state agency during the calendar month.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations,The total number of Medicaid and CHIP eligible determinations made (processed) at application by the state agency during the calendar month. This metric is set equal to the sum of the Individuals Determined Eligible for Medicaid at Application and Individuals Determined Eligible for CHIP at Application metrics in this dataset.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_footnotes,Footnotes for the total number of Medicaid and CHIP eligible determinations made (processed) at application by the state agency during the calendar month.
Monthly Enrollment Data Dictionary updated,medicaid_and_chip_child_enrollment,"A point-in-time count of the number of children enrolled in Medicaid and the number of individuals enrolled in CHIP as of the last day of each month. Note that since some states use CHIP to extend coverage to adults, this measure is not strictly limited to children in all states. Includes only those individuals who are eligible for comprehensive benefits. This metric is calculated as the sum of Performance Indicator elements 8c, 8f, and 8h when 8c and 8f are greater than 0; otherwise, the metric is set equal to 0."
Monthly Enrollment Data Dictionary updated,medicaid_and_chip_child_enrollment_footnotes,Footnotes for a point-in-time count of the number of children enrolled in Medicaid and the number of individuals enrolled in CHIP (including separate CHIP and Medicaid-expansion CHIP) as of the last day of each month.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_enrollment,A point-in-time count of the number of individuals enrolled in Medicaid or CHIP as of the last day of each month. Includes only those individuals who are eligible for comprehensive benefits. This metric is calculated as the sum of Performance Indicator elements 8a and 8h.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_enrollment_footnotes,Footnotes for a point-in-time count of the number of individuals enrolled in Medicaid or CHIP as of the last day of each month.
Monthly Enrollment Data Dictionary updated,total_medicaid_enrollment,A point-in-time count of the number of individuals enrolled in Medicaid as of the last day of each month. Includes only those individuals who are eligible for comprehensive benefits. This metric is set equal to Performance Indicator data element 8a.
Monthly Enrollment Data Dictionary updated,total_medicaid_enrollment_footnotes,Footnotes for a point-in-time count of the number of individuals enrolled in Medicaid as of the last day of each month.
Monthly Enrollment Data Dictionary updated,total_chip_enrollment,"A point-in-time count of the number of individuals enrolled in CHIP (including separate CHIP and Medicaid-expansion CHIP) as of the last day of each month. Note that since some states use CHIP to extend coverage to adults, this measure is not strictly limited to children in all states. Includes only those individuals who are eligible for comprehensive benefits. This metric is set equal to Performance Indicator data element 8h."
Monthly Enrollment Data Dictionary updated,total_chip_enrollment_footnotes,Footnotes for a point-in-time count of the number of individuals enrolled in CHIP (including separate CHIP and Medicaid expansion CHIP) as of the last day of each month.
Monthly Enrollment Data Dictionary updated,total_medicaid_adult_enrollment,A point-in-time count of the number of individuals enrolled in adult MAGI and non-MAGI Medicaid as of the last day of each month. Includes only those individuals who are eligible for comprehensive benefits. This metric is calculated as the sum of Performance Indicator elements 8d and 8g.
Monthly Enrollment Data Dictionary updated,total_medicaid_adult_enrollment_footnotes,Footnotes for a point-in-time count of the number of individuals enrolled in adult MAGI and non-MAGI Medicaid as of the last day of each month.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_in_less_than_24_hours,"The number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred less than 24 hours after the date the application was received by the agency. Determinations made using non-MAGI rules, applications that have not yet received a final determination, and determinations at annual renewal are not included in this metric. This metric is set equal to Performance Indicator data element 12f."
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_in_less_than_24_hours_footnotes,Footnotes for the number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred less than 24 hours after the date the application was received by the agency.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_between_24_hours_and_7_days,"The number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred between 24 hours and 7 days after the date the application was received by the agency. Determinations made using non-MAGI rules, applications that have not yet received a final determination, and determinations at annual renewal are not included in this metric. This metric is set equal to Performance Indicator data element 12g."
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_between_24_hours_and_7_days_footnotes,Footnotes for the number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred between 24 hours and 7 days after the date the application was received by the agency. 
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_between_8_days_and_30_days,"The number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred between 8 days and 30 days after the date the application was received by the agency. Determinations made using non-MAGI rules, applications that have not yet received a final determination, and determinations at annual renewal are not included in this metric. This metric is set equal to Performance Indicator data element 12h."
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_between_8_days_and_30_days_footnotes,Footnotes for the number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred between 8 days and 30 days after the date the application was received by the agency.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_between_31_days_and_45_days,"The number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred between 31 days and 45 days after the date the application was received by the agency. Determinations made using non-MAGI rules, applications that have not yet received a final determination, and determinations at annual renewal are not included in this metric. This metric is set equal to Performance Indicator data element 12i."
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_between_31_days_and_45_days_footnotes,Footnotes for the number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred between 31 days and 45 days after the date the application was received by the agency.
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_in_more_than_45_days,"The number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred more than 45 days after the date the application was received by the agency. Determinations made using non-MAGI rules, applications that have not yet received a final determination, and determinations at annual renewal are not included in this metric. This metric is set equal to Performance Indicator data element 12j."
Monthly Enrollment Data Dictionary updated,total_medicaid_and_chip_determinations_processed_in_more_than_45_days_footnotes,Footnotes for the number of final determinations on applications made by the Medicaid and CHIP agency using MAGI rules that occurred more than 45 days after the date the application was received by the agency.
Monthly Enrollment Data Dictionary updated,total_call_center_volume,"The total number of calls received by each call center or hotline that serves Medicaid and CHIP applicants or enrollees in the state. Call centers reported in this metric may serve additional state human services programs such as SNAP, but the metric excludes calls received by call centers that primarily serve an SBM. The metric is set equal to the value states report in Performance Indicator data element 1."
Monthly Enrollment Data Dictionary updated,total_call_center_volume_footnotes,Footnotes for the total number of calls received by each call center or hotline that serves Medicaid and CHIP applicants or enrollees in the state.
Monthly Enrollment Data Dictionary updated,average_call_center_wait_time,"The average wait time in whole minutes for calls received by all call centers reported in the metric above. Wait times between 0 and 29 seconds are rounded down to the nearest whole minute, including 0 zero minutes. The metric is set equal to the value states report in Performance Indicator data element 2."
Monthly Enrollment Data Dictionary updated,average_call_center_wait_time_footnotes,"Footnotes for the average wait time in whole minutes for calls received by all call centers reported in the metric above. Wait times between 0 and 29 seconds are rounded down to the nearest whole minute, including 0 zero minutes."
Monthly Enrollment Data Dictionary updated,average_call_center_abandonment_rate,The average abandonment rate for all call centers reported in the call center volume metric above. The abandonment rate is calculated as the number of calls abandoned by the caller (numerator) divided by the total call volume (denominator). The metric is set equal to the value states report in Performance Indicator data element 3.
Monthly Enrollment Data Dictionary updated,average_call_center_abandonment_rate_footnotes,Footnotes for the average abandonment rate for all call centers reported in the call center volume metric above.
Drug Manufacturer Contact Info Data Dictionary,labeler_code,NDC #1
Drug Manufacturer Contact Info Data Dictionary,labeler_name,Manufacturer name
Drug Manufacturer Contact Info Data Dictionary,opt_eff_date,MMDDYYYY
Drug Manufacturer Contact Info Data Dictionary,term_date,MMDDYYYY
Drug Manufacturer Contact Info Data Dictionary,legal_contact_name,Name of Legal Contact
Drug Manufacturer Contact Info Data Dictionary,legal_corp,Corporation Name for the Legal Contact
Drug Manufacturer Contact Info Data Dictionary,legal_address_1,Legal Address Line 1
Drug Manufacturer Contact Info Data Dictionary,legal_address_2,Legal Address Line 2
Drug Manufacturer Contact Info Data Dictionary,legal_address_3,Legal Address Line 3
Drug Manufacturer Contact Info Data Dictionary,legal_city,Legal City
Drug Manufacturer Contact Info Data Dictionary,legal_state,Legal State
Drug Manufacturer Contact Info Data Dictionary,legal_zip,X(9)
Drug Manufacturer Contact Info Data Dictionary,legal_phone,"X(14) Area Code, Number, Extension"
Drug Manufacturer Contact Info Data Dictionary,legal_email_address,Legal Contact Email Address
Drug Manufacturer Contact Info Data Dictionary,invoice_contact,Name of Invoice Contact
Drug Manufacturer Contact Info Data Dictionary,invoice_corp,Corporation Name for the Invoice Contact
Drug Manufacturer Contact Info Data Dictionary,invoice_address_1,Invoice Address Line 1
Drug Manufacturer Contact Info Data Dictionary,invoice_address_2,Invoice Address Line 2
Drug Manufacturer Contact Info Data Dictionary,invoice_address_3,Invoice Address Line 3
Drug Manufacturer Contact Info Data Dictionary,invoice_city,Invoice City
Drug Manufacturer Contact Info Data Dictionary,invoice_state,Invoice State
Drug Manufacturer Contact Info Data Dictionary,invoice_zip,X(9)
Drug Manufacturer Contact Info Data Dictionary,invoice_phone_no,"X(14) Area Code, Number, Extension"
Drug Manufacturer Contact Info Data Dictionary,invoice_email_address,Invoice Contact Email Address
Drug Manufacturer Contact Info Data Dictionary,tc_name,Name of Technical Contact
Drug Manufacturer Contact Info Data Dictionary,tc_corp,Corporation Name for the Technical Contact
